Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
The Human Condition I: No Greater Love,4.43,206,3:26,"Japanese,Chinese",Masaki Kobayashi,1959,"Drama,War,History",Japan,2063,11272,"Tatsuya Nakadai,Michiyo Aratama,Chikage Awashima,Ineko Arima,Sō Yamamura,Akira Ishihama,Kôji Nanbara,Seiji Miyaguchi,Tōru Abe,Masao Mishima,Eitarō Ozawa,Kōji Mitsui,Akitake Kôno,Nobuo Nakamura,Kyū Sazanka,Eijirô Tôno,Shinsuke Ashida,Keiji Sada"
Strangers on a Train,3.99,101,1:41,"English,French",Alfred Hitchcock,1951,"Mystery,Thriller,Crime",USA,7482,60191,"Farley Granger,Ruth Roman,Robert Walker,Leo G. Carroll,Patricia Hitchcock,Kasey Rogers,Marion Lorne,Jonathan Hale,Howard St. John,John Brown,Norma Varden,Robert Gist,Brooks Benedict,John Doucette,Harry Hines,Alfred Hitchcock"
Dial M for Murder,4.02,105,1:45,English,Alfred Hitchcock,1954,"Thriller,Crime",USA,8258,67063,"Ray Milland,Grace Kelly,Robert Cummings,John Williams,Anthony Dawson,Leo Britt,Patrick Allen,George Leigh,George Alderson,Robin Hughes,Jack Cunningham,Guy Doleman,Bess Flowers,Sam Harris,Harold Miller,Martin Milner,Forbes Murray,Thayer Roberts,William H. O'Brien"
The Cranes Are Flying,4.31,97,1:37,Russian,Mikhail Kalatozov,1957,"Drama,Romance,War",USSR,3519,17374,"Tatyana Samoylova,Aleksey Batalov,Vasili Merkuryev,Aleksandr Shvorin,Svetlana Kharitonova,Konstantin Kadochnikov,Valentin Zubkov,Antonina Bogdanova,Boris Kokovkin,Ekaterina Kupriyanova,Valentina Ananina,Valentina Vladimirova,Olga Dzisko,Leonid Knyazev,Georgiy Kulikov,Daniil Netrebin,Aleksandr Popov"
63 Up,4.1,145,2:25,"English,Bulgarian,French,Latin",Michael Apted,2019,Documentary,UK,405,1571,"Nicholas Hitchon,Tony Walker,John Brisby,Bruce Balden,Charles Furneaux,Lynn Johnson,Suzanne Dewey,Jacqueline Bassett,Andrew Brackfield,Peter Davies,Symon Basterfield,Neil Hughes,Susan Sullivan,Paul Kligerman,Michael Apted"
Alice Doesn't Live Here Anymore,3.74,112,1:52,English,Martin Scorsese,1974,"Drama,Romance",USA,3938,20297,"Ellen Burstyn,Kris Kristofferson,Alfred Lutter,Harvey Keitel,Diane Ladd,Lelia Goldoni,Billy Green Bush,Jodie Foster,Valerie Curtin,Vic Tayback,Murray Moston,Harry Northup,Lane Bradbury,Mia Bendixsen,Dean Casper,Marty Brinton,Ola Moore,Laura Dern,Tami Conner"
PlayTime,4.13,115,1:55,"French,German,English",Jacques Tati,1967,Comedy,France,8729,36604,"Jacques Tati,Barbara Dennek,Rita Maiden,France Rumilly,France Delahalle,Valérie Camille,Erika Dentzler,Nicole Ray,Yvette Ducreux,Nathalie Jem,Jacqueline Lecomte,Olivia Poli,Alice Field,Sophie Wennek,Evy Cavallaro,Laure Paillette"
A Fistful of Dollars,3.88,99,1:39,"Italian,Spanish",Sergio Leone,1964,Western,Germany,10501,99179,"Clint Eastwood,Marianne Koch,Gian Maria Volonté,Wolfgang Lukschy,Sieghardt Rupp,Joseph Egger,Antonio Prieto,José Calvo,Margarita Lozano,Daniel Martín,Benito Stefanelli,Mario Brega,Bruno Carotenuto,Aldo Sambrell,Lorenzo Robledo"
For a Few Dollars More,4.08,132,2:12,Italian,Sergio Leone,1965,Western,Germany,7246,73580,"Clint Eastwood,Lee Van Cleef,Gian Maria Volonté,Luigi Pistilli,Klaus Kinski,Joseph Egger,Panos Papadopulos,Mara Krupp,Benito Stefanelli,Roberto Camardiel,Aldo Sambrell,Luis Rodriguez,Tomás Blanco,Lorenzo Robledo,Sergio Mendizábal,Dante Maggio,Diana Rabito,Giovanni Tarallo,Mario Meniconi,Mario Brega"
Never Rarely Sometimes Always,3.92,101,1:41,English,Eliza Hittman,2020,Drama,UK,18222,72332,"Sidney Flanigan,Talia Ryder,Théodore Pellerin,Ryan Eggold,Sharon Van Etten,Eliazar Jimenez,David Buneta,Christian Clements,Sam Dugger,Aurora Richards,Rose Elizabeth Richards,Brian Altemus,Lizbeth MacKay,Mia Dillon,John Ballinger Sr.,Drew Seltzer,Amy Tribbey"
