Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Sicario,3.91,122,2:02,"English,Spanish",Denis Villeneuve,2015,"Crime,Thriller,Action",Mexico,34897,359937,"Emily Blunt,Benicio del Toro,Josh Brolin,Victor Garber,Jon Bernthal,Daniel Kaluuya,Jeffrey Donovan,Raoul Max Trujillo,Julio Cedillo,Hank Rogerson,Bernardo P. Saracino,Maximiliano Hernández,Kevin Wiggins,Edgar Arreola,Kim Larrichio,Jesus Nevarez-Castillo,Dylan Kenin,John Trejo,Marty Lindsey,Alex Knight,Rio Alexander,Eric Steinig"
Fantastic Planet,3.98,72,1:12,French,René Laloux,1973,"Science Fiction,Animation",Czechoslovakia,21641,97105,"Gérard Hernandez,Jean Valmont,Jennifer Drake,Yves Barsacq,Jeanine Forney,Éric Baugin,Jean Topart,William Coryn,Sylvie Lenoir,Philippe Ogouz,Irina Tarassov,Yvette Robin"
Ghostbusters,3.79,107,1:47,English,Ivan Reitman,1984,"Fantasy,Comedy",USA,25208,373193,"Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Rick Moranis,Annie Potts,William Atherton,Ernie Hudson,David Margulies,Steven Tash,Jennifer Runyon,Slavitza Jovan,Michael Ensign,Alice Drummond,Jordan Charney,Timothy Carhart,John Rothman,Tom McDermott,Roger Grimsby,Larry King,Joe Franklin,Casey Kasem,John Ring,Norman Matlock,Joe Cirillo,Joe Schmieg,Reginald VelJohnson,Rhoda Gemignani,Murray Rubin,Larry Dilg,Danny Stone"
Candy,2.45,124,2:04,English,Christian Marquand,1968,"Comedy,Adventure,Fantasy",France,595,2049,"Ewa Aulin,Charles Aznavour,Marlon Brando,Richard Burton,James Coburn,John Huston,Walter Matthau,Ringo Starr,John Astin,Elsa Martinelli,Sugar Ray Robinson,Anita Pallenberg,Lea Padovani"
Scarface,3.77,93,1:33,"English,Italian",Howard Hawks,1932,"Drama,Action,Crime,Thriller",USA,3378,23615,"Paul Muni,Ann Dvorak,Karen Morley,Osgood Perkins,C. Henry Gordon,George Raft,Vince Barnett,Boris Karloff,Purnell Pratt,Tully Marshall,Inez Palange,Edwin Maxwell,Jean Harlow,Henry Armetta,Gus Arnheim,Eugenie Besserer,Maurice Black,James Conaty,Gino Corrado,Virginia Dabney"
Donnie Darko,3.98,114,1:54,English,Richard Kelly,2001,"Mystery,Drama,Fantasy",USA,83588,678271,"Jake Gyllenhaal,Jena Malone,James Duval,Drew Barrymore,Beth Grant,Maggie Gyllenhaal,Mary McDonnell,Holmes Osborne,Noah Wyle,Katharine Ross,Patrick Swayze,Daveigh Chase,Arthur Taxier,David St. James,Patience Cleveland,Jazzie Mahannah"
El Topo,3.71,125,2:05,Spanish,Alejandro Jodorowsky,1970,"Adventure,Action,Drama,Western",Mexico,5166,35197,"Alejandro Jodorowsky,Brontis Jodorowsky,José Legarreta,Alfonso Arau,José Luis Fernández,David Silva,Ignacio Martínez España,Mara Lorenzio,Paula Romo,Robert John,Jacqueline Luis,Héctor Martínez,Juan José Gurrola,Víctor Fosado,Agustín Isunza,Ali Junco,Gerardo Zepeda,René Barrera,René Alís,Federico Gonzáles"
Okja,3.69,122,2:02,"English,Korean,Spanish",Bong Joon-ho,2017,"Fantasy,Drama,Adventure,Science Fiction",South Korea,36889,274347,"Tilda Swinton,Ahn Seo-hyun,Paul Dano,Jake Gyllenhaal,Lily Collins,Steven Yeun,Giancarlo Esposito,Devon Bostick,Byun Hee-bong,Yoon Je-moon,Shirley Henderson,Daniel Henshall,Choi Woo-shik,Sheena Kamal,Michael Mitton,Colm Hill,Kathryn Kirkpatrick,Jose Carias,Nancy Amelia Bell,Lee Jung-eun,Kim Jae-in,Choi Hee-seo,Jang Ji-woong,Lee Bong-ryeon,Park Ki-seon,Yoon Kyung-ho,Cho Wan-ki,Kyul Hwi,Kwak Jin-seok,Park Ji-hoon,Lee Jae-Hyeok,Clayton Elliot Jones,Seoyoung Lim,Jungsook Park,Jooman Hong,Kyungwook Lim,Seungchang Lee,Byeonghee Lee,Hyunwoo Choi,Kim Moon-hak,Park Keun-rok,Daehyun Kim"
My Neighbor Totoro,4.2,86,1:26,Japanese,Hayao Miyazaki,1988,"Family,Fantasy,Animation",Japan,61465,563177,"Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,Sumi Shimamoto,Tanie Kitabayashi,Hitoshi Takagi,Masashi Hirose,Yûko Maruyama,Shigeru Chiba,Toshiyuki Amagasa"
#Horror,1.43,90,1:30,English,Tara Subkoff,2015,"Thriller,Mystery,Horror,Drama",USA,1098,4918,"Chloë Sevigny,Timothy Hutton,Natasha Lyonne,Balthazar Getty,Taryn Manning,Stella Schnabel,Sadie Seelert,Haley Murphy,Bridget McGarry,Blue Lindeberg,Mina Sundwall,Emma Adler,Annabelle Dexter-Jones,Lydia Hearst,Sadie Jensen-Blank,Tara Subkoff,Jessica Blank"
