Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Oldboy,4.31,120,2:00,Korean,Park Chan-wook,2003,"Drama,Action,Mystery,Thriller",South Korea,35643,331753,"Choi Min-sik,Yoo Ji-tae,Kang Hye-jung,Kim Byeong-ok,Ji Dae-han,Oh Dal-su,Lee Seung-shin,Yoon Jin-seo,Oh Tae-kyung,Yoo Yeon-seok,Yoo Il-han,Oh Gwang-rok,Park Myung-shin,Lee Dae-yeon,Kim Su-hyun"
The Silence of the Lambs,4.31,119,1:59,English,Jonathan Demme,1991,"Thriller,Drama,Crime",USA,50903,729414,"Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine,Anthony Heald,Brooke Smith,Diane Baker,Kasi Lemmons,Frankie Faison,Tracey Walter,Charles Napier,Danny Darst,Alex Coleman,Dan Butler,Paul Lazar,Ron Vawter,Roger Corman,Lawrence A. Bonney,Lawrence T. Wrentz,Don Brockett,Frank Seals Jr.,Stuart Rudin,Masha Skorobogatov,Jeffrie Lane,Leib Lensky"
The Cranes Are Flying,4.31,97,1:37,Russian,Mikhail Kalatozov,1957,"Drama,Romance,War",USSR,3858,18870,"Tatyana Samoylova,Aleksey Batalov,Vasili Merkuryev,Aleksandr Shvorin,Svetlana Kharitonova,Konstantin Kadochnikov,Valentin Zubkov,Antonina Bogdanova,Boris Kokovkin,Ekaterina Kupriyanova,Valentina Ananina,Valentina Vladimirova,Olga Dzisko,Leonid Knyazev,Georgiy Kulikov,Daniil Netrebin,Aleksandr Popov"
It's Such a Beautiful Day,4.31,62,1:02,English,Don Hertzfeldt,2012,"Animation,Comedy,Drama",USA,13072,52212,"Don Hertzfeldt,Sara Cushman"
Scenes from a Marriage,4.31,169,2:49,Swedish,Ingmar Bergman,1974,"Romance,Drama",Sweden,4345,24000,"Liv Ullmann,Erland Josephson,Bibi Andersson,Jan Malmsjö,Gunnel Lindblom,Wenche Foss,Bertil Norström,Anita Wall,Rossana Mariano,Lena Bergman,Ingmar Bergman,Barbro Hiort af Ornäs"
A Woman Under the Influence,4.31,155,2:35,"English,Italian",John Cassavetes,1974,Drama,USA,9958,45068,"Peter Falk,Gena Rowlands,Fred Draper,Lady Rowlands,Katherine Cassavetes,Matthew Labyorteaux,Matthew Cassel,Christina Grisanti,George Dunn,Mario Gallo,Eddie Shaw,Angelo Grisanti,Charles Horvath"
Before Sunset,4.31,80,1:20,"English,French",Richard Linklater,2004,"Romance,Drama",USA,42667,228025,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,Rodolphe Pauly,Mariane Plasteig,Diabolo,Denis Evrard,Albert Delpy,Marie Pillet"
War and Peace,4.3,422,7:02,"Russian,French,German,Hungarian",Sergey Bondarchuk,1965,"Drama,History,War,Romance",USSR,1325,5206,"Ludmila Savelyeva,Sergey Bondarchuk,Vyacheslav Tikhonov,Viktor Stanitsyn,Kira Golovko,Oleg Tabakov,Sergei Yermilov,Irina Gubanova,Anatoli Ktorov,Antonina Shuranova,Anastasiya Vertinskaya,Boris Smirnov,Irina Skobtseva,Vasili Lanovoy,Oleg Efremov,Nikolai Tolkachyov,Yelena Tyapkina,Klavdiya Polovikova,Eduard Martsevich,Angelina Stepanova,Gemma Firsova,Galina Kravchenko,Boris Zakhava,Nikolay Trofimov,Giuli Chokhonelidze,Nikolai Rybnikov,Aleksandr Borisov,Nonna Mordyukova,Aleksandr Semin,Mikhail Khrabrov,Stanislav Chekan,Viktor Murganov,Vladislav Strzhelchik,Vadim Safronov,Nikolai Bubnov,Ivan Solovyov,Yuri Chekulayev,Pyotr Savin,Andrey Smirnov,Vasiliy Badayev,Herberts Zommers,Jānis Grantiņš,D. Eizental,Jean-Claude Ballard,Georgi Millyar,Boris Molchanov,Lev Polyakov,Georgi Shapovalov,Ivan Turchenkov,Nikolai Khryashchikov,Semyon Svashenko,Aleksandr Kuznetsov,Aleksandr Lebedev,Nikolay Smorchkov,Ivan Zhevago,Alexey Bahar,Mikhail Vorobyov,Aleksandr Degtyar,Ye. Shalamov,A. Boldyrev,Denis Sivakov,N. Sorokin,Vladimir Prikhodko,Daniil Netrebin,Yelena Stroyeva"
Howl's Moving Castle,4.3,119,1:59,Japanese,Hayao Miyazaki,2004,"Adventure,Animation,Fantasy",Japan,57104,451810,"Chieko Baisho,Takuya Kimura,Akihiro Miwa,Tatsuya Gashûin,Ryunosuke Kamiki,Haruko Katô,Yayoi Kazuki,Mayuno Yasokawa,Yo Oizumi,Rio Kanno,Akio Otsuka,Daijirô Harada"
Marcel the Shell with Shoes On,4.3,90,1:30,English,Dean Fleischer-Camp,2021,"Comedy,Family,Drama,Animation",USA,25384,48879,"Jenny Slate,Dean Fleischer-Camp,Isabella Rossellini,Thomas Mann,Rosa Salazar,Lesley Stahl,Nathan Fielder,Andy Richter,Sarah Thyre,Jessi Klein,Peter Bonerz"
